job,location,company_name,work_type,job_details,days_since_post,min_applications,alumni_count,followers_count,min_employees,max_employees,job_type,experience_level
Executive - Billing,"Chennai, Tamil Nadu, India",Freshworks,On-site,"About the job Company Description About Freshworks Freshworks makes it fast and easy for businesses to delight their customers and employees. We do this by taking a fresh approach to building and delivering software that is affordable, quick to implement, and designed for the end user. More than 50,000 companies -- from startups to public companies -- around the world use Freshworks software-as-a-service to enable a better customer experience (CRM) and employee experience (ITSM, HRSM). Headquartered in San Mateo, California, Freshworks has a dedicated team operating from 13 global locations to serve 50,000+ customers including Bridgestone, Chargebee, DeliveryHero, ITV, Klarna, Multichoice, OfficeMax, TaylorMade and Vice Media. Freshworks transforms the way world-class organizations collaborate with customers and co-workers. The suite includes Freshdesk (omni-channel customer support), Freshsales (sales automation), Freshmarketer (marketing automation), Freshservice (IT service desk), Freshteam (HR management system). Freshworks has received numerous accolades including 2019 Startup of the Year form Economic Times, #16 ranking on the Forbes’ Cloud 100 list and #22 on the Battery Ventures/Glassdoor Best Places to Work in 2020. Our suite of products has also been recognized by analysts including the Gartner Magic Quadrants for CRM Customer Engagement, IT Service Management and Sales Force Automation. While Freshworks has had incredible organic growth over the last few years, the company also has made targeted acquisitions that add critical capabilities to the portfolio including Natural Language Processing, Chatbots, Machine Learning, Social and Messaging Transformation. Freshworks has raised over $400 million in capital and is funded by Accel, CapitalG, Sequoia Capital and Tiger Global Management. More information is available at www.Freshworks.com. At Freshworks, we are creating a global workplace that enables everyone to find their true potential, purpose and passion, irrespective of their background, gender, race, sexual orientation, religion or ethnicity. We are committed to providing equal opportunity for all and believe that diversity in the workplace creates a more vibrant, richer work environment that advances the goals of our employees, our communities and our business. Job Description We are looking for an Executive - Subscriptions & Billing who will work cross-functionally across all members of the business to support Subscription Management and Invoicing Support to all customers of Freshworks. About The Team The Subscription and Billing (S&B) team manages the activation and invoicing lifecycle of Freshworks Products. S&B Agents are expected to learn the product, agent, platform, and add-on billing SKUs ensure the right SKUs are set up for each subscription, add/amend subscriptions as per customer/AM/CSM requests in line with Sales Finance Policy, participate in projects under S&B to enhance Billing and other allied applications & ensure analysis of customer queries and resolve the issue promptly and appropriately. Below are the job responsibilites. Read / Review the contracts / SOF and generate invoices accurately and in a timely manner.Follow up with Internal / External stakeholders on missing informationRespond to customer queries received via emails, phone calls, tickets and other modes ofcommunicationResponsible for the month-on-month revenue generation by processing deals.Assist the team in day-to-day activities from process and policy standpoints.Provide best-in-class customer service with first-time-right resolutionAssist month-end and close activities for Financial Reporting/MIS Qualifications 1 to 4 years of experience in Billing, O2C or Finance related activities.Good communication skills (written and oral).Working knowledge of MS Office products.Knowledge & experience in related processes like Cash Applications, Collections, and MIS would be an advantage but not mandatory.Skilled in negotiation & problem-solvingWilling to learn and open to working in a 24/7 operational environment with rotational shifts Additional Information At Freshworks, we are creating a global workplace that enables everyone to find their true potential, purpose, and passion irrespective of their background, gender, race, sexual orientation, religion and ethnicity. We are committed to providing equal opportunity for all and believe that diversity in the workplace creates a more vibrant, richer work environment that advances the goals of our employees, communities and the business.",0.0,hours,23.0,589976.0,5001.0,10000.0,Full-time,Associate
Senior JavaScript Developer,"Chennai, Tamil Nadu, India",EPAM Anywhere,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a Middle/Senior JavaScript Developer to make the team even stronger. We are seeking a tech-savvy specialist capable to support a dedicated Machine Learning and Social/Collaboration “SWAT” team from a front-end perspective. As a JavaScript Developer, you will be involved in developing a self-service application, that will ease the data processing greatly and build interactive visualizations. Your main duties will also include developing React components of different levels of complexity. Working as part of our distributed team of 30+ people, you will get not only an interesting experience but also chances to enhance your technical skills through working with a modern technology stack and collaboration with the top-notch EPAM specialists from other locations. Our customer is a US-based software company that allows users to prepare and transform their data into actionable, easily consumable information. With more than 30 years' experience in the market, the company focuses on providing its 40,000 clients with sophisticated solutions for the most difficult data challenges. Responsibilities Develop React components of different levels of complexityWrite tests for the developed components, perform partial components design and testingDevelop new functionalityBe able to understand the functionality of the current application and fix bugs if neededCommunicate with the developers from other teams regarding the application’s functionality Requirements 3+ years of experience as a JavaScript DeveloperKnowledge of ReactJSExperience working with ReduxKnowledge of WebpackKnowledge of ES6Ability to read and understand other people’s codeCritical thinkingGood communication skillsIntermediate (B1) English level Nice to have Working experience with various frameworksFamiliarity with Git, MercurialUnderstanding of Functional Programming, Functional Reactive Programming. We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hours,3.0,449383.0,1001.0,5000.0,Full-time,Mid-Senior level
Senior Java Software Engineer,"Patna, Bihar, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We're looking for a remote Senior Java Software Engineer with 3+ years of software development experience to join our team. The project is a rewards and talent management platform for corporates employing popular gamification techniques on an enterprise scale. Responsibilities Assist in mainstream development targeted to redesign of system model and integrationsNegotiate the requirements to aspects\modules requiring refactoring and implement itInvestigate performance and security issues reported from time to tome and resolve themHelp to process periodic support requests Requirements 3+ years of software development experience with JavaKnowledge of Java 8/11Experience with Spring (CDI), Spring Security, Spring BootFamiliarity with HibernateExperience with PostgreSQL, FlywayProficient English (written and spoken) B2 Nice to have Experience with Kafka, OAuth2 SSO, Rest API, GitLab CI and Azure Kubernetes is a big plus We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449391.0,1001.0,5000.0,Full-time,Mid-Senior level
Senior JavaScript Software Engineer,"Visakhapatnam, Andhra Pradesh, India",EPAM Anywhere,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently we are looking for a Senior JavaScript Software Engineer. Our client is the first global trade network ecosystem providing supply chain software & services. Its SaaS platform automates customers’ complex logistics processes, provides unparalleled visibility, minimizes operational costs, and maximizes supply chain velocity to provide forward-thinking companies with a powerful competitive advantage. Requirements 3+ years’ production experience in JavaScript software engineeringSolid knowledge of and experience in React.JSStrong experience in ReduxExperience in CSSExperienced and enthusiastic code reviewerUpper-intermediate level of English, both written and spoken Nice to have Redux FormLodash or RamdaMochaSinon.JSChai.jsESLintSassNode.jsExpress We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hours,3.0,449396.0,1001.0,5000.0,Full-time,Mid-Senior level
Lead Java Developer,"Kochi, Kerala, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we're looking for a remote Lead Java Developer for a Financial Service Company to join our team. Our customer is a financial service company for residential Real Estate investors and self-employed recent credit event borrowers. Responsibilities Creating Client's Product 2.0 SolutionDeveloping backend Java code on AWS using industry standardsConnecting to third-party services to provide access to critical components of the systemWorking with Architect and BA, Dev, QA, DevOps teamsHelping to create and maintain the Backend, Cloud, Amazon Web Services code for Product 2.0Working with client and EPAM team during discovery sessionsLeading Dev team to build Backend, Cloud, Amazon Web Services code and configurationsReviewing CodeBeing EngX proactiveDoing required POC and researchBeing instrumental with Product 2.0 architecture Requirements 5+ years of Java development experienceKnowledge of Core Java, Spring, Hibernate, Webservices, Restful servicesExperience with Amazon Web Services (AWS)Experience with relational database technologies e.g., SQL Server, OracleExperience with using version control tools (Git)Understanding of concepts in OOP, design patternsUnderstanding of software development lifecycle, experience in Agile Scrum processWillingness and ability to adapt to changes in priorities and requirementsActive learner who is passionate about technology and keeps up to date with technology changesEnglish level B2+ We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449396.0,1001.0,5000.0,Full-time,Mid-Senior level
Lead Java Software Engineer,"Bhopal, Madhya Pradesh, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Lead Software Engineer with 5+ years of Java experience, Spring boot experience and experience in a microservice environment to join our team. The client is an international provider of sports betting and casino games, headquartered in St. Julian's, Malta. The company also has branches in Germany, Austria, Croatia, Gibraltar, and Colombia. Responsibilities Contribute in all phases of the development lifecycleWrite well designed, testable, efficient codeEnsure designs are in compliance with specificationsPrepare and produce releases of software componentsSupport continuous improvement by investigating alternatives and technologies and presenting these for architectural review Requirements Strong Java Core knowledgeSpring boot experienceExperience in microservice environmentGood EngX/clean code sense1+ year of relevant leadership experienceProficient English (written and spoken) B2 Nice to have AWS/K8s experienceKafka knowledgeWorking in a distributed service We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449400.0,1001.0,5000.0,Full-time,Mid-Senior level
Lead Java Software Engineer,"Visakhapatnam, Andhra Pradesh, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Lead Software Engineer with 5+ years of experience with Java, solid background in architecture and system integration patterns to join our team. The customer is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores. Responsibilities Direct communication with the client on a daily basisDesign, development and maintenance of services primarily related to order management and accounting domains (new features & changes to the existing ones) Requirements 5+ years of experience with Java 8/11 (Lambdas, Streams, Completable Future, Optional, Generic, GoF design patterns)Solid background in architecture and system integration patterns, development methodologiesExperience in utilizing Grafana, Jaeger, Splunk to monitor and troubleshooting application systems (or any similar tools)Demonstrated experience in using modern software engineering tools: git workflows, gradle, load testing tools, mock frameworksExcellent problem-solving skills: able to break down problems independently and deal with them according to prioritiesExperience with CI/CD1+ year of relevant leadership experienceProficient English (written and spoken) B2 We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449401.0,1001.0,5000.0,Full-time,Mid-Senior level
Senior Java Software Engineer,"Kochi, Kerala, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a Senior Java Software Engineer with Java expertise and Spring Boot experience to join our team. The customer is an American luxury department store chain. It originated as a shoe store and evolved into a full-line retailer with departments for clothing, footwear, handbags, jewelry, accessories, cosmetics, and fragrances. The main pool of tasks is associated with work with a team doing E2E project delivery. Responsibilities Produce well-written and succinct technical analysis and documentation to stakeholders in the development and product managementWork with Automated Testing framework to cover code with tests Requirements Proficiency in Java and Spring BootExperience with production REST APIs developmentExperience with Kafka streamsExperience in Lean/Agile frameworks such as ScrumClear and effective written and verbal communication and strong interpersonal skillsProficient English (written and spoken) B2 Nice to have Java 11Spring (Core, MVC, Data, Boot)REST APIsRBDMS (Oracle RMS & PostgreSQL)Kafka StreamsJUnit / CucumberGitLab CI / MavenDocker / KubernetesSplunk / New Relic We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449401.0,1001.0,5000.0,Full-time,Mid-Senior level
Senior C++ Developer,"Thane, Maharashtra, India",EPAM Anywhere,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Senior C++ Developer to become a part of the global team. Our client is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in New York City. Responsibilities Work with the latest technical stack, side by side with like-minded individualsConduct image/video processing workBuilding out interfaces for the PWA, creating and managing componentsIntegration with machine learning models (semantic segmentation and keypoint detection neural nets)Optimize SDK for desktop AR and mobile AR accessed in PWA Requirements 3+ years of experience as a C++ DeveloperKnowledge of algorithms and data structures - ability to understand and apply in practice where neededUnderstanding of performance implications of every component and interaction in web applications- starting from DNS to code-levelKnowledge of ReactJSFamiliarity with Image Processing and Computer Vision Nice to have WebGL and AI/VR/CV experience We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hours,3.0,449401.0,1001.0,5000.0,Full-time,Mid-Senior level
Senior C++ Developer,"Nagpur, Maharashtra, India",EPAM Anywhere,Remote,"About the job We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Senior C++ Developer to become a part of the global team. Our client is an American multinational manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products, based in New York City. Responsibilities Work with the latest technical stack, side by side with like-minded individualsConduct image/video processing workBuilding out interfaces for the PWA, creating and managing componentsIntegration with machine learning models (semantic segmentation and keypoint detection neural nets)Optimize SDK for desktop AR and mobile AR accessed in PWA Requirements 3+ years of experience as a C++ DeveloperKnowledge of algorithms and data structures - ability to understand and apply in practice where neededUnderstanding of performance implications of every component and interaction in web applications- starting from DNS to code-levelKnowledge of ReactJSFamiliarity with Image Processing and Computer Vision Nice to have WebGL and AI/VR/CV experience We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hours,3.0,449402.0,1001.0,5000.0,Full-time,Mid-Senior level
Lead Java Developer,"Kanpur, Uttar Pradesh, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently, we are looking for a remote Lead Java Engineer with 5+ years of practical Java experience to join our team. The customer is a Belgian-Dutch grocery retail company. Its business format includes supermarkets, convenience stores, hypermarkets, online grocery, online non-food, drugstores, and liquor stores. Responsibilities Working on monolith decommision and movement of application towards target architectureBuilding of end-to-end features and new services for the customer product with a great focus on Quality and Operational capabilities (distributed tracing, monitoring, continuous delivery, etc.), and using a modern stack Requirements 5+ years of experience with Java (strong experience with Java 8+)Experience with MavenRelational databases understanding + SQLNoSQL understandingExperience with Spring IoC/Dependency Injection Experience with Spring BootExperience with Spring MVCExperience with Spring Integration API Experience with REST APIExperience in Testing (Unit + Integration)Experience with DockerExperience with KubernetesCloud experienceExperience in implementation and testing of microsericesUnderstanding of test automation process, understanding of test strategyExperience with Gerit (or analogs), Jenkins, Grafana (or analogs), SonarLinux experience Basic commands like grep, cat, more/less, etc.English B2+ Nice to have Kotlin is a big plusExperience in CosmosDB is a plusExperience in performance testing of microservices via Gatling or JMeter is a plusExperience with ServerlessExperience with Microsoft Azure We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449405.0,1001.0,5000.0,Full-time,Mid-Senior level
Lead Java Software Engineer,"Vadodara, Gujarat, India",EPAM Anywhere,Remote,"About the job We are looking for Java developers with strong knowledge AWS or react/only. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. We are currently looking for a remote Lead Software Engineer with 5+ years of Java expertise, experience with agile software development methodologies like Kanban or Scrum to join our team. You’ll work as part of a small, high-energy team delivering incredible, creative improvements for our engineering teams. You will be working on world-class dev-ops tools, creating shared components and services while guiding the teams with conventions and techniques. The product is in use both within EPAM and distributed externally, and its goal to visualize the performance of project development in the form of charts and widgets by aggregating various data sources including Jira, Git, Sonar, etc. Responsibilities Make tools and systems that are a delight to use and multiply the potential of those around youUse your analytical skills to make sure we're solving the right problems Requirements Great creative and innovative problem-solving skillsInitiative and the ability to work independently and in a teamExperience with monitoring techniques and toolsExperience with continuous delivery for production environmentExperience with k8sExperience with agile software development methodologies like Kanban or ScrumExperience with DockerKnowledge of KibanaJava \ Spring knowledgeKafka (message queue) experienceSSO\Authentication\Authorization + Keycloak experienceKnowledge of Helm\ k8sRDMS (PostgreSQL) understandingLinux knowledge1+ year of relevant leadership experienceProficient English (written and spoken) B2 We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider.",0.0,hour,3.0,449407.0,1001.0,5000.0,Full-time,Mid-Senior level
